Kgen,Dkgen,Commit,Sign,SignCommit,SignCommitProb,CommitProbTotal,SignProbTotal,ProbTries
3408707745,3346671196,3308539671,725129495,4082259403,872306400,138567576,732095678,1
3415325468,3355504948,3304355031,727567142,4090193999,889303962,138932220,720774133,1
3438674573,3388777608,3307773245,715861330,4088482418,860118538,289640523,1485758292,2
3411916638,3390082412,3271110131,725694172,4070952890,888201167,141630997,746090588,1
3438547317,3356729272,3271085274,712151280,4083130825,860441336,138307260,732567732,1
3445025278,3384797142,3309064239,723055486,4073048237,870757941,137828831,733628397,1
3411953703,3391675037,3285385782,741856723,4106539456,887766496,289840491,1482052147,2
3441608409,3353718189,3313466658,748102139,4095113005,894768643,289366898,1470372900,2
3421320738,3375241239,3280591275,742674040,4105088247,891030383,138667073,721629566,1
3409872571,3352680829,3258810649,741200063,4091091963,889217571,138609414,734335073,1
3425432363,3377929784,3314127283,727621585,4072769475,875167889,589359327,2962644834,4
3444989046,3357446418,3287278318,729699891,4127522269,878363089,443064298,2255380496,3
3444154465,3370980230,3285565694,728844482,4094223699,890235722,138170733,734530940,1
3434019916,3363301553,3262373882,742219013,4128518929,890027069,438606745,2222503704,3
3407100787,3378514230,3293737262,740402978,4082597184,887993860,288346263,1491541262,2
3397266175,3349917634,3316594943,742813267,4117282760,892837473,137837869,721455300,1
3427885638,3388441334,3265436383,728537217,4110125307,876928370,288872565,1465765932,2
3381371379,3385558817,3309818302,742540664,4131550405,875430214,138146876,735445688,1
3435970319,3358158003,3311647953,742074337,4115488470,890289527,288837791,1495164174,2
3409132003,3354175366,3286753410,710851952,4095167033,859740285,141456374,739262406,1
3441715969,3386880654,3326202866,741134543,4095011182,888643625,587588661,2916367821,4
3398317091,3391650605,3306858075,730795778,4127987376,879330549,138572766,732275836,1
3414947997,3357705490,3265738605,744259091,4115004551,878184321,292275959,1483618506,2
3435445318,3358888000,3314909824,740797572,4126758188,874450134,141722997,745680198,1
3416073245,3383729033,3269641204,740897873,4077690298,889055391,138099568,745281863,1
3413411604,3362548991,3268944618,718281657,4120528044,880292523,138291841,736133176,1
3450331352,3330157402,3313144531,730299072,4109666858,879013287,139399722,736357339,1
3438813996,3372534681,3321868773,731189533,4147802454,891914981,139430501,735490694,1
3435823139,3378813542,3319360969,728641041,4082756482,875891478,138719287,736412925,1
3435441139,3358628932,3282865601,718459054,4067983996,880306233,138004987,735688232,1
3430931115,3354950125,3312997062,738539285,4091555699,887107643,139183218,747267351,1
3411650312,3390480235,3283494566,738494950,4120919740,886546063,138537555,754263117,1
3411792967,3347208322,3326014255,739742121,4133371688,886200510,438213673,2241682974,3
3429671897,3392168089,3283539928,724272669,4102338838,872158830,289162102,1489833563,2
3386241237,3367954505,3308844125,739913277,4078711665,873892657,139393472,729811379,1
3408822903,3363705682,3256196866,728053440,4122105007,890654685,289600327,1466067318,2
3413838050,3396353599,3278002231,709968036,4074325568,871548134,288279126,1495941075,2
3399142059,3349194982,3286639095,740279088,4085489155,888049456,139114353,733808622,1
3415401521,3363548738,3309765795,738871913,4083415370,873344099,138430514,733471687,1
3371063193,3389638027,3284821036,725834041,4108103372,874169438,289020298,1449662923,2
3440191147,3347401699,3250901567,740716645,4130895864,874124678,138340167,738283834,1
3434714620,3377425133,3287500705,738370635,4087575652,887012212,138217331,748480082,1
3390211704,3383543016,3279625373,727117780,4118140797,888366781,289252599,1467271706,2
3420140687,3344554126,3299680474,738807770,4098840060,886666549,138073089,733438127,1
3447356770,3360419591,3282385506,735052277,4137842384,881865961,138625424,717017205,1
3415564990,3309020800,3281054862,723727416,4103724492,886798232,138388769,750950917,1
3444185488,3366758819,3313618455,714304439,4051217024,848388463,439824961,2232166197,3
3439291109,3370295662,3278748573,741402740,4096637611,874298497,288096456,1467055500,2
3442550873,3361603751,3269896587,743438831,4103427860,891153552,439510068,2197745390,3
3414049892,3380613340,3282108293,725052229,4099883039,872887959,138830633,739329161,1
3445757862,3332568408,3303426439,739503803,4100341025,874159239,288966020,1493064425,2
3412780965,3367283958,3318039117,723337440,4072181234,871298232,439716291,2213619300,3
3409907762,3368889548,3289252021,715634671,4095980419,860693564,138706558,749495565,1
3440398465,3360313103,3268900433,728900780,4107648395,863755720,288288387,1500701333,2
3433518954,3390099376,3294632163,740995482,4129533494,892184716,290102200,1474459112,2
3421429481,3390477120,3318540663,743555076,4125194519,892101955,289229242,1465093337,2
3441431890,3364826754,3315298131,731179558,4097741505,892538830,440303187,2192638484,3
3394743472,3353108369,3286884649,740087442,4093932966,873909667,138465990,747609551,1
3418664076,3363038736,3297708833,728400450,4136562556,876011877,138677788,731304116,1
3439666052,3391057093,3302180988,728980762,4119938462,889432355,138225625,755835035,1
3410856996,3387363692,3285738472,739041927,4094217722,886950150,138373746,735071164,1
3415966176,3385568398,3280647248,739056386,4083004475,872716510,138502702,737025720,1
3397089582,3351180923,3301888835,721928879,4080602568,871002825,138416436,728246242,1
3395124368,3368410796,3314529489,726777823,4107319650,889790063,138786166,736987317,1
3436595014,3361095115,3292389442,739339115,4093351868,872802835,141627222,750384029,1
3369854073,3383878294,3306667123,742993655,4094946226,891494967,439605455,2202633476,3
3426919505,3386093500,3318316449,714067701,4089865220,861283381,138306791,734238739,1
3412689878,3358469603,3290464797,743258100,4103956282,891156611,138842175,721312273,1
3439133845,3376149787,3311293584,741564831,4056124981,888732260,442251023,2242510591,3
3409329225,3379099392,3290857151,743471223,4124198744,891717873,588754211,2970427879,4
3403075662,3358615825,3288080780,731698147,4093782363,879520837,289288829,1503968115,2
3415346632,3357857733,3286129050,715928708,4091079264,849725417,741021310,3701316470,5
3424729564,3392085621,3317692504,749050524,4142139665,884171220,139194047,738914537,1
3416260971,3355649527,3288379529,726021714,4134002171,887957260,138124391,733189941,1
3435501876,3381735592,3291034106,731712423,4117980332,879007814,438360070,2240356778,3
3406155127,3373746674,3266859410,745660688,4135019198,894056773,138801425,734279827,1
3391426525,3380727633,3290939103,745594577,4113842256,892784776,289722726,1493343684,2
3444017061,3335723450,3316211116,727522524,4054588535,875411593,588409961,2975068433,4
3440044024,3359221356,3291192693,725939723,4072912232,888206418,439992025,2215868383,3
3391668095,3367346099,3290858917,739737813,4136248773,888107489,139274737,727354662,1
3421622133,3364396379,3313112963,742519302,4073109723,888292075,439504359,2232770396,3
3446350260,3393233145,3299715142,737987960,4114588176,872208514,139025064,720816902,1
3448116492,3394449249,3287178664,721571234,4092101756,868380933,288741947,1463582736,2
3430999524,3383934590,3249774538,745040456,4088937182,892117918,138704176,746944864,1
3387426270,3364740258,3272458786,745527841,4086578592,892866923,588429051,2959750833,4
3423606896,3367240907,3290039299,744014311,4109563123,890740635,138122314,747339008,1
3437845612,3360092307,3272701500,742582700,4085405097,890625333,138453362,735474512,1
3444213424,3372437170,3268547889,731243718,4102119568,893110454,138261549,734316030,1
3428372589,3350719776,3262769632,742587094,4104955427,890416078,138095057,734010533,1
3427263266,3351318611,3317815356,728439989,4112814448,890309273,1039307200,5205083672,7
3411097595,3393551285,3274739232,723320518,4074714839,871163597,138648977,746807445,1
3411648898,3392500800,3322201740,726188479,4121240362,874091202,138691592,730993563,1
3416715680,3340861938,3270063080,744061775,4134855855,882093713,138219821,731740954,1
3415387271,3367766035,3318994882,737099890,4108844063,883982735,138436898,740271498,1
3417913537,3362807782,3286258859,742622166,4102872287,890431538,289589241,1465833262,2
3413525140,3403826607,3292650958,731797243,4120927774,889750596,138545044,737510048,1
3392688202,3380356425,3295739659,729946104,4091454036,877191093,590018922,2992509239,4
3414415920,3363923933,3315379595,725171275,4119991663,872173684,889571265,4408890953,6
3380368222,3330008216,3271314227,729011948,4138488542,876685424,289431794,1473931276,2
3441447061,3361510214,3305348926,708146014,4075934707,856702315,739874114,3734598584,5
