Kgen,Dkgen,Commit,Sign,SignCommit,SignCommitProb,CommitProbTotal,SignProbTotal,ProbTries
1322237086,1256365450,1144209376,282707020,1344970510,431812073,334524424,489696967,2
1239744308,1307379300,1094905583,283144666,1395648998,448776464,852653533,1334095225,5
1287275345,1255938960,1145060396,315545873,1429263390,464550008,334260100,556122645,2
1252262178,1305225701,1109437086,282231761,1379436723,465195140,161336159,252613113,1
1238720185,1290994943,1111576555,282315715,1378420966,466086183,161347238,303995569,1
1272961502,1290635947,1144413422,281950656,1380774309,448971730,506875225,774708077,3
1288038577,1240099948,1163078934,299256690,1395175269,465188241,334494179,539184825,2
1289306245,1287655701,1111960555,249120236,1378700157,415587738,334357725,522992806,2
1256490216,1273310052,1112111736,282105873,1328775892,448536938,161171297,252356645,1
1321558468,1257489932,1095165715,281117249,1394527145,447669508,680027136,1061407340,4
1256111519,1239743852,1113332020,281583282,1395526432,448047522,161230664,302959218,1
1339776599,1256395001,1095023623,316170988,1361442793,465065406,161130687,287384584,1
1289090855,1257967770,1095212963,248776529,1346946907,433215816,161648357,270483052,1
1256317528,1274807633,1094884465,316298889,1380050907,482996908,161479876,252328548,1
1305967316,1257728149,1129056977,283285220,1361245621,449432813,161534665,304153855,1
1321773280,1240279521,1179658788,282558267,1345072012,449165291,161249652,252551583,1
1285929535,1288336842,1162961524,264328754,1396343492,431249842,161199210,270260195,1
1269992149,1274794039,1163025012,282336252,1378440837,448463357,334206497,555807123,2
1270905678,1290455426,1112210057,265565258,1362583825,431681931,679505578,1047639357,4
1323227958,1255849808,1147733324,299526838,1411937922,464755254,332866681,606992000,2
1290376298,1287854990,1113783524,299056528,1412161332,464276272,161259411,304249783,1
1324588387,1258883943,1094362240,315486906,1445503461,499135318,680135746,1147047144,4
1270641536,1289880663,1129124653,298222251,1362063526,464686767,161393880,270627465,1
1272840988,1256345381,1095794192,299223202,1361552982,465850059,161375030,252115758,1
1237404100,1290884406,1078416047,299689509,1345917802,466646658,161039947,270940761,1
1273703906,1291866415,1162426447,316471271,1449508672,482650708,161668513,287221988,1
1271749811,1256919469,1130124306,315545537,1412150060,481677306,160973488,253769740,1
1321114080,1223950530,1145866668,298236666,1446826405,481378364,506652141,842066282,3
1256973870,1256997376,1127633423,298857790,1378651224,465476731,161130493,268733920,1
1305547212,1271620374,1145017668,315611590,1394879617,481852952,161588137,269913452,1
1322416256,1272917759,1095598967,298862043,1397078749,483058888,1370595225,2258903076,8
1307379723,1306651779,1162412765,332550207,1429954054,499169299,161613836,304388817,1
1321138927,1256522569,1129729299,282466170,1378934925,449200626,161134086,288104932,1
1320901979,1289940927,1147827356,299908803,1395773558,449366404,334048689,589954666,2
1304285027,1290909584,1146671285,283295681,1379106833,448786510,1198165486,1939913915,7
1290432571,1308813804,1163954628,299725157,1428863927,482362450,852715884,1450401544,5
1273495300,1274546835,1127900272,315268261,1430502197,498866734,161083422,320153017,1
1324458593,1323591377,1161911536,315828351,1413717855,464689987,161527341,286877499,1
1305433079,1240082445,1145806857,316341663,1412356051,483394105,161396557,303934819,1
1272039113,1223638333,1146341232,266221829,1379630575,415235319,679496654,1112478378,4
1253414232,1274360579,1130664215,298486397,1429996370,465385114,1890072252,3154695554,11
1289995521,1273394139,1129600793,282696748,1344734892,432168835,161361196,270016756,1
1303438558,1274614789,1163964518,281736579,1362243197,431501287,161826845,269412452,1
1307452363,1273670766,1145239789,249431296,1378245078,431832459,334833805,522147113,2
1301607318,1290039206,1077835785,316039800,1377723716,465667960,507603464,894500915,3
1255295962,1223485297,1129739325,282517562,1413460249,449606587,161421945,285925743,1
1305537787,1276109490,1145653658,264909338,1395941197,448091684,161439157,269635453,1
1290642227,1306638401,1079099656,282028199,1378803137,448616873,334661221,573806559,2
1290885781,1273454247,1128843769,282323433,1397383118,448691345,334272884,540347484,2
1307353105,1275129763,1163348553,282180992,1395312716,449483358,333638443,624545512,2
1323256896,1290312756,1146729664,281974304,1413457858,448800026,334362978,522835887,2
1286973058,1274904277,1113345220,300069078,1412797468,465611229,679458600,1195967071,4
1255572612,1238783688,1164284456,298245345,1377529406,464863527,507031736,843570621,3
1273844269,1308518177,1095219970,316923552,1414320034,483022259,505522329,895484649,3
1308955755,1290954090,1146786021,282383135,1379209483,448632302,334621836,506014755,2
1307427123,1273854505,1114586677,282705069,1414141568,449060154,161525677,269903259,1
1289518855,1273169920,1146391024,283109146,1362439059,449280351,334534675,557034390,2
1270992477,1292289899,1129198058,281862948,1428205053,447882233,334643756,574922022,2
1303810919,1290555954,1095624969,282738137,1396658678,449024089,853050220,1233784084,5
1323755293,1274129607,1129046156,298584872,1395978261,465355882,334732154,572261307,2
1290386845,1257999646,1095611706,265737518,1363794094,430739135,506691509,878827855,3
1307394543,1257636630,1096591963,264766784,1362160668,430835196,334338797,574922431,2
1287997810,1306265648,1163758796,281871935,1379401522,448523077,680115023,1115492615,4
1289571342,1291746700,1148037438,265143461,1381553633,448570915,161599404,269778195,1
