Kgen,Dkgen,Commit,Sign,SignCommit,SignCommitProb,CommitProbTotal,SignProbTotal,ProbTries
5972369894,5755088743,5486170368,968737349,6470690179,1190306520,447738753,1950281841,2
5992333792,5699694094,5421840931,953190586,6380905169,1174977381,449249496,1969301437,2
6089241332,5754963891,5435491046,974736754,6414444028,1181991667,1142033918,4921732296,5
6078988332,5760286217,5468073042,967034727,6405182219,1173530441,217044697,953917270,1
6053827943,5762196761,5464629992,973799657,6401062521,1195307604,218510587,970959448,1
6097875625,5709671850,5476739031,971071960,6401843218,1192559316,218322088,1004285710,1
6066174447,5687622256,5478574951,954874444,6482457140,1192825899,448365178,1936095404,2
6017358158,5782969404,5488130366,937201210,6372056403,1159959000,449980827,1948068218,2
6109558606,5763756746,5473357781,952706241,6465161533,1189185774,218566166,969936483,1
6027474928,5760668241,5436358354,973267177,6474152770,1196499550,910795442,3900665384,4
6062497651,5762258709,5459821942,959591770,6411486656,1183336242,450745240,1952772144,2
6051760662,5697735296,5421947827,967328744,6480914084,1190842055,218159055,977738912,1
6055916087,5718941863,5422148022,951558539,6410875996,1174790001,219298690,991764129,1
6051589728,5741962890,5391940227,973861313,6434239957,1196539876,447875225,1967897872,2
6033952794,5752126461,5421365713,956081358,6417731257,1164815352,218654204,972889035,1
6102842839,5765593220,5478956630,965932834,6421386376,1187814622,679801395,2963104327,3
6112710279,5700014427,5465583598,967098220,6399768326,1189171401,217944378,974572669,1
6013369216,5720859127,5436177486,966712100,6399593177,1172768042,217991034,991058077,1
6003454190,5748722594,5486560201,967234654,6482764715,1190801426,448981292,1944948089,2
6069854249,5700668155,5501926813,971110085,6474955314,1178619445,218014205,986831426,1
6005198171,5775117887,5414975540,970553854,6418996710,1179228775,217826874,976928047,1
6059468067,5764358201,5433811707,966403643,6448129490,1174016142,450574351,1989352809,2
6071190321,5701036233,5432241039,958405805,6478234209,1180883624,217457167,985856877,1
6064727710,5707372361,5410038293,955616629,6474386196,1193575910,218245241,975374059,1
6025827124,5790865466,5494268114,965475291,6428083533,1187267092,448653543,1970563430,2
6118703534,5756880623,5489423708,940294244,6380542138,1161858610,218737232,1011712649,1
6139370772,5768373441,5432192017,953852719,6405648024,1176406264,217819432,974962295,1
6022000090,5710367106,5485466949,968401284,6478141080,1190080566,912113510,3920868916,4
6130194531,5718016764,5465684508,966672948,6428670909,1189376790,218973126,985661632,1
6072962600,5784665005,5495181998,956278869,6441436133,1194696899,449788786,1946922868,2
6086695475,5781297508,5441836154,962382652,6466988658,1184840784,911570441,3876099826,4
6129299097,5710565358,5430050644,966780696,6451822615,1174988875,1142487907,4944565081,5
6102758701,5771289723,5402989062,951147091,6468862048,1187870477,217909306,994004994,1
6135166026,5770056814,5462869234,971985501,6484044044,1194313058,1839477381,7827503499,8
6028309179,5697159435,5426779666,958783248,6465226298,1181118235,680701887,2929239975,3
6101721749,5768314383,5430047328,967119557,6459776250,1189336010,217767725,971332298,1
6114953559,5701894871,5500549019,958183676,6471605151,1180110027,218261701,980393992,1
6124216935,5770624020,5403486875,956229814,6472810204,1178837622,218808627,1007241137,1
6030331315,5710815268,5422254208,956041026,6465819230,1179203046,217590840,983737035,1
6068797719,5709192237,5510681778,962181127,6391312279,1184930928,218246437,985909643,1
6107853768,5678817185,5434905302,973280563,6433418338,1195485672,450240287,1949510998,2
6102175882,5773069433,5416468811,968281857,6410029772,1175876669,449806222,1976518932,2
6060226184,5755824665,5441553378,942476933,6402351576,1178455742,449773093,1932125228,2
5988795873,5718620833,5442669616,966985567,6420374839,1189344399,911393380,3930995456,4
6015106439,5778660773,5421046948,971818214,6401854191,1194075288,680542622,2958312891,3
6052267508,5712084030,5480753807,956375299,6430133739,1193230060,680583656,2956068158,3
6057788920,5768335345,5484774549,964185731,6469009973,1186603299,218184507,984015823,1
6095825344,5778059458,5422699398,993723023,6488673378,1216128222,680023531,2901592972,3
6054946497,5732420294,5492605031,955085441,6410332684,1193189589,913013722,3950333923,4
6051793206,5777630165,5441607404,957781671,6475935796,1195791868,218090648,987450250,1
6041026801,5773238212,5432445841,956196190,6423834875,1178344642,217887626,975541944,1
5990745067,5709848873,5478528934,967652364,6473412957,1191466010,218718230,978988106,1
6065411110,5708003573,5459703422,970589103,6464281845,1193705919,218190912,980561306,1
6115820811,5724272580,5474776776,952778245,6404125450,1176442811,218229961,991499369,1
6065199207,5764755138,5421197206,952796212,6388570728,1175971164,449811824,1947078923,2
6071608793,5662896781,5481116111,970781720,6452599605,1178314530,1373859458,5898178467,6
6049113383,5771222721,5391997594,956656617,6389701194,1179895461,911098925,3920093666,4
6074763380,5766621121,5490770178,973129983,6435630246,1194900494,448691318,1941611440,2
6072473432,5777669542,5388612969,959318865,6463153904,1180995363,217658368,990208537,1
5985306854,5735739874,5472205431,968287434,6410268502,1191689182,217646786,972374821,1
6071694704,5747112396,5492918798,976902531,6419743274,1199231546,450333706,1928224394,2
6045287099,5748371351,5433651910,960381327,6414291935,1196973354,217630049,977481840,1
6087221299,5712929148,5488014160,969355802,6485052070,1192234235,1143342079,4932408684,5
6115307599,5711817462,5438462657,953779250,6419054995,1162279425,679174455,2945896041,3
6055562370,5751476340,5483281155,955200315,6439714538,1177657743,219255293,974949265,1
6050568020,5701329369,5414884684,971475760,6442093683,1179236643,449358908,1941581102,2
6026192164,5768299787,5514788177,938056030,6382569369,1160231684,911921011,3929742355,4
6104732732,5718386891,5417762292,955410822,6436656306,1178086778,448968984,1966837232,2
6031626244,5751361765,5442473351,967276606,6421486129,1175098431,447864883,1977895056,2
6039021205,5737184094,5474925577,952606719,6432912138,1190311763,680381953,2955479885,3
6076859300,5774163658,5425606490,960780135,6411123503,1198418761,217927083,966850225,1
5983630138,5759400263,5495022213,967830161,6391058618,1175909978,450089458,1927419858,2
6063450879,5759180100,5489444393,953353426,6422992700,1176912171,449126040,1960821300,2
6005301087,5775396783,5410040631,962630584,6477977625,1200533544,217980231,963287040,1
6052778512,5775328682,5436952468,953683454,6471863712,1176853433,911561813,3913479945,4
6065934516,5742057034,5511135370,950167680,6408108519,1173349004,449877792,1995146827,2
6031251426,5796703300,5453667540,964915899,6416846224,1188013097,448934538,1981978876,2
6083974144,5668692473,5481209788,921034806,6397076303,1128887774,449946917,1929418946,2
6095997557,5769556632,5431369302,960324021,6421055720,1182793510,217947927,968595417,1
6124077263,5726736326,5481806331,953172079,6388747846,1161610785,679602105,2992600290,3
6061218068,5701714282,5423371243,953351862,6413633446,1175322765,680996544,2943203011,3
6078602812,5705909943,5437834987,976977788,6464975219,1199673904,217122333,972555552,1
6074448784,5786807306,5442246787,958807105,6422043697,1195852062,219116118,990023347,1
6103249710,5724275340,5433185459,967346084,6443708214,1174925633,448666958,1962636852,2
6058956377,5697973837,5496372348,974925990,6401744911,1197539792,449424728,1947861534,2
6057612295,5724723198,5432279251,957380667,6401129610,1193177232,449623482,1949896586,2
6026613910,5772751401,5427114454,973581683,6424451588,1196819631,218246018,971118025,1
6103368581,5762676015,5425679309,954674137,6481143339,1191520495,217803405,975678490,1
6049493665,5778926005,5467758791,960650415,6414661243,1183350131,219189269,990058756,1
6078095536,5754869811,5415383318,959625507,6414448570,1195735232,450415128,1968007304,2
6066029770,5718142987,5425991695,963294382,6387537115,1186592694,449756255,1927650640,2
6024742370,5725634315,5437653068,963236181,6477975570,1200965970,682027466,2908085760,3
6090036855,5706071572,5482735278,972516395,6461491206,1195269181,449930754,1977432952,2
6057996619,5716601178,5518410586,959028937,6399908728,1181815723,910567978,3952924966,4
6030282165,5698009366,5459291189,935877461,6381732749,1174296872,448352420,1945893305,2
6126967073,5711041253,5468917911,956739244,6397262342,1178748666,1143109650,4946347539,5
6077546382,5777652286,5495255421,977049917,6422937251,1183993861,218179106,976749645,1
6140681925,5697026011,5423490768,957098939,6440136328,1180484169,217975227,967194446,1
6099786912,5702677898,5439711187,961726540,6410097290,1184699026,681837144,2929458220,3
6056999741,5769668852,5415766272,950063976,6423812728,1172466739,218185027,974780825,1
